term	family	layer	function	attested	gloss	source	same_object_as
Nasrullo	Persian/CentralAsian	section	medial	no (0 files)	a named shuʿba of the vocal cycle	UNCITED — see (a); I will not assert the Emir-Nasrullah eponymy I half-remember	—
Owj	Persian/CentralAsian	section	goal	"no (0 files; اوج 18f/66 occ, all body = ""zenith"")"	the registral climax of an āvāz, the high-tessitura arrival	Farhat 1990; Nettl 1992	global goal — the bucket RESULTS_MARK_COVERAGE.md already puts sthāyī / coro / pallavi / drop / estribillo / mukhda / chorus in
Pīshdarāmad	Persian/CentralAsian	section	front_framing	no (0 files)	composed metric instrumental prelude before the darāmad; a c.1900 innovation, not a classical stratum	"During et al. 1991; Grove ""Iran"""	"SECTION_FUNCTIONS[""intro""] — ""opens the song; may state material that returns later"", exactly what a pīshdarāmad does"
Reng	Persian/CentralAsian	section	rear_framing	"no — literal grep 159 files, every one false (see §0); رنگ 31f/1,463 occ = ""colour"""	metric dance piece closing the suite	"Farhat 1990; During et al. 1991; Grove ""Iran"""	Central Asian ufar — same object, different tradition
Sarakhbor	Persian/CentralAsian	section	initiating	no (0 files; 0 in the whole repo)	opening piece of the vocal cycle (nasr), a low-register statement of the maqom	"Levin, The Hundred Thousand Fools of God (Indiana UP 1996); Levin, Daukeyeva & Köchümkulova (eds.), The Music of Central Asia (Indiana UP 2016); Grove ""Shash maqām"""	darāmad (same slot, other tradition)
Talqin	Persian/CentralAsian	section	medial	no (0 files)	second shuʿba of the vocal cycle, in its own slow asymmetric metre	"Levin 1996; Levin et al. 2016; Grove ""Shash maqām"""	—
Ufar	Persian/CentralAsian	section	rear_framing	no (0 files)	the fast dance piece in 6/8 that closes a shuʿba group	"Levin 1996; Levin et al. 2016; Grove ""Shash maqām"""	Persian reng — same object
Gospel: Modulation lift	Sacred English	device	—	NO — 1 body hit, lexical	a key change, usually a semitone, before a final chorus	UNCITED	nothing. Not a span, and leaves no mark on a lyric sheet
Shape-note: Repeat	Sacred English	device	—	"YES, at the lyric layer — 21 blocks [CHORUS: abbreviated return, printed ""&c."" in the source], plus the Durfey # note: header naming ""&c."" as the burden's own repeat evidence; 114 HEADER hits for ""repeat"""	"an instruction that a written span is sung again; in a score a repeat sign, in a lyric sheet ""&c."""	"The Sacred Harp, ""Rudiments of Music"""	ReviseDeclaration.repeat_licence (quality/revise.py:350) and the […: abbreviated return] staging convention. Nothing in SECTION_FUNCTIONS, correctly — it is not a span
Turnaround	Sacred English	device	—	NO — 0 hits anywhere in corpus/song/, the only term on this list with zero occurrences of any kind	a one- or two-bar harmonic figure returning to the top	"The New Grove Dictionary of Jazz, s.v. ""Turnaround"""	"SECTION_FUNCTIONS[""turnaround""] — layer disagreement, §5(b). plan.py already excludes it from GENERATOR_ROSTER because ""turnaround overlaps a seam"""
Fasola fuguing entry	Sacred English	perform	—	"NO — 0 files for ""fuguing"", ""fasola"", ""fuging"""	the staggered successive voice entries of a fuging tune's second section, all voices on the same words	"Irving Lowens, ""The Origins of the American Fuging Tune"", JAMS 6/1 (1953); Grove, ""Fuging tune""; Cobb (1978)"	nothing. fasola names the four-syllable solmization (fa-sol-la-mi), not a span — the compound term mixes a tradition label with a texture event
Lining out	Sacred English	perform	—	"NO, and this is the finding — 0 files for ""lining out"", ""lined out"", ""precentor""; the 16 repo files matching ""lining"" are all declining"	a precentor reads or intones one line; the congregation sings it; alternation to the end of the stanza	"Nicholas Temperley, ""The Old Way of Singing: Its Origins and Development"", JAMS 34/3 (1981), and The Music of the English Parish Church (1979); Grove, ""Lining out"""	nothing. See §4
Praise break	Sacred English	perform	—	NO — 0 hits of any kind	an ecstatic congregational passage over a driving figure; content improvised and largely non-lexical	UNCITED	nothing
Run-back	Sacred English	perform	—	NO — 0 hits of any kind	an in-performance decision to go back and take a span again	UNCITED	nothing
Shout	Sacred English	perform	—	"NO as structure — 0 marks; 370 body lines in 177 files are the verb (""Zion, shout, for this is he"")"	"two senses: the ring shout, a whole-body counter-clockwise congregational practice; and ""the shout"", the ecstatic up-tempo close"	"Grove, ""Ring shout""; Dena J. Epstein, Sinful Tunes and Spirituals (1977); Sterling Stuckey, Slave Culture (1987)"	nothing. Homonym — §5(b)
Squall	Sacred English	perform	—	"NO — the 20 body hits in 11 files are all weather (""a black squall rose"")"	a shrieked or cried vocal attack	UNCITED	nothing
Sermonic close	Sacred English	process	—	"NO — 0 files for ""sermonic"""	the sung or chanted close of a preached sermon, sliding from speech into song	UNCITED for the section sense	nothing
Amen	Sacred English	section	rear_framing	"NO as a structure — 0 marks; the 62 HEADER hits are substrings (Lament 28, LAMENT 17, Lamentation 6, testament, Morsiamen); the 347 body hits are the word inside the last line (""And every creature say, Amen."")"	the sung Amen appended to a hymn as a closing cadence, printed in Victorian hymnals after every text	"Grove, ""Amen""; Erik Routley, The Music of Christian Hymns (1981) on the Hymns Ancient and Modern practice"	"SECTION_FUNCTIONS[""tag""] — ""a short repeated fragment closing a section or the song"". Exact fit; tag is currently unwitnessed"
Bridge	Sacred English	section	contrasting	NO — 0 marks, 0 structural headers; 115 body lines in 54 files are all the noun bridge	a once-only contrasting span	UNCITED for sacred use (it is a popular-song term)	"SECTION_FUNCTIONS[""bridge""] (aliases middle-eight etc.) — unwitnessed corpus-wide"
Burden	Sacred English	section	goal	YES — 1,580 eng [MARK] blocks / 34 files, but ZERO in any hymnal-attested file; 1,753 corpus-wide (+192 san)	in the carol literature, an external refrain with its own text, sung before the first stanza and after each. In this corpus: 92% one line (1,447/1,580) and 1,580 of 1,580 follow a VERSE block	"R. L. Greene, The Early English Carols (2nd edn 1977), Introduction; Grove, ""Burden (i)""; OED burden n."	"SECTION_FUNCTIONS[""burden""]; MARK_FUNCTION[""BURDEN""], [""BURDEN-TAIL""]. The row's own gloss is falsified by 100% of the blocks it types — §3"
Call-and-response section	Sacred English	section	medial	"NO in English — but the object is staged in Finnish: [PART: X], 61 blocks, whose file header says in its own words ""This is call-and-response marked by the source itself"""	a span whose lines alternate between two named roles	"Grove, ""Call and response"""	"MARK_REFUSED[""PART""] — the repo has already REFUSED this object once: ""a speaker or role attribution … not a section function."" An English row would re-open a decided refusal. See §5(c)"
Chorus	Sacred English	section	goal	PARTIAL — 290 [MARK] blocks / 66 eng files, but ZERO in any hymnal-attested file. 655 HEADER hits are the stagers' # structure: lines	a separate strain of four lines or so, sung after each stanza to its own tune-half	"Grove, ""Gospel music""; Reynolds & Price, A Survey of Christian Hymnody"	"SECTION_FUNCTIONS[""chorus""]; MARK_FUNCTION[""CHORUS""]. In this corpus the gospel chorus is staged as [REFRAIN], not [CHORUS] — §3"
Doxology	Sacred English	section	rear_framing	"YES as text, unmarked — eng_hymn_ken.txt stages Ken's doxology as a whole SONG under [VERSE 1]; eng_hymn_watts.txt prints ""Doxology. / The Christian Doxology. / Long Metre. … Common Metre. … Short Metre. …"" as unmarked body inside another song, 10 inline metre-labelled stanzas"	a fixed-text ascription stanza appended to a hymn or psalm; portable — printed in several metres precisely so it can be attached to any hymn of that metre	"Julian, A Dictionary of Hymnology (1892), s.v. ""Doxology""; Grove, ""Doxology"""	"partly SECTION_FUNCTIONS[""coda""] (""a closing section with its own material""). The portability has no slot anywhere in the repo — a section whose text is fixed and whose host varies is not modelled"
Drive	Sacred English	section	goal	"NO — 0 structural; the 277 body hits are the verb; the 1 ""mark"" hit is an editorial bracket in eng_british_felicia_hemans.txt"	the intensified repeated closing section of a quartet performance	UNCITED — I know the term from gospel-quartet writing but cannot name a reference I am sure of	closest declared rows are build / drop / vamp, all unwitnessed
Hymn: Refrain	Sacred English	section	goal	YES — 597 eng [MARK] blocks / 33 files, of which 26 in 14 hymnal-attested files; 709 corpus-wide	in the sacred sub-corpus, a whole repeated strain: 22 of 26 hymn REFRAIN blocks are 4 lines, the same extent as the modal hymn VERSE (4,909 of 6,181)	"Grove, ""Refrain"""	"SECTION_FUNCTIONS[""refrain""]; MARK_FUNCTION[""REFRAIN""] — but by the repo's own extent rule these 22 blocks are chorus, §3"
Hymn: Stanza	Sacred English	section	medial	"YES as HEADER (787 files gloss [VERSE n] as ""stanza""); ZERO as a mark; 4 body/bracket hits are editorial apparatus"	the metrically identical strophe of a hymn: every stanza scans to the same metre (86.86, 88.88, 66.86…) so that any tune of that metre may carry it; its identity condition is metre, not slot	"Julian, A Dictionary of Hymnology (1892); Grove, ""Hymn""; the metrical index printed in any hymnal"	"same FUNCTION as verse, different OBJECT — §2. Its defining property already lives in quality/schemes.py:656 (ABCB aliased ""common metre""/""hymn metre"") and in METER_BANDS_PREREGISTRATION.md (8.6.8.6 /"
Shape-note: Chorus	Sacred English	section	goal	NO — 0 files	the repeated strain of a tunebook setting	Cobb (1978)	chorus — one object
Shape-note: Verse	Sacred English	section	medial	"NO — no shape-note or tunebook source is staged; ""shape-note"" occurs once in the whole repo, in data/song_functions_eng.tsv:2"	the tunebook strophe, textually identical to the hymn stanza	"The Sacred Harp, ""Rudiments of Music""; B. E. Cobb, The Sacred Harp: A Tradition and Its Music (1978)"	verse / Hymn: Stanza — one object
Special chorus	Sacred English	section	goal	NO — 0 files, 0 hits of the phrase	an additional or alternative chorus printed with a gospel song	UNCITED	[CHORUS 2] — 2 blocks already staged. MarkedSong.instances declares that a different index is a different instance, so the slot exists
Tag	Sacred English	section	rear_framing	NO — 0 marks; the 152 HEADER hits are substrings (Cottage, Heritage, Intaglio, Stag)	a short repeated fragment closing the song	UNCITED for the sacred sense	"SECTION_FUNCTIONS[""tag""] — unwitnessed; and Amen is the sacred witness it never had"
Vamp	Sacred English	section	goal	NO — 0 marks, 0 headers; the 17 body hits are svamp, vampire, vamp (of a shoe)	the short repeated cyclic close of a gospel song, held open under an improvising lead	"Grove, ""Vamp""; gospel usage builds on it"	"SECTION_FUNCTIONS[""vamp""] (""a repeating figure held open"", recurrence open) and GENERATOR_ROSTER. Function disputed — §5(b)"
Verse	Sacred English	section	medial	YES — 6,181 [MARK] blocks in 34 eng_hymn_ files; 47,655 eng-wide in 1,297 files; also 3,236 HEADER glosses	the strophic body unit; in sacred use it is the stanza (see §2)	"repo staging headers, 685+33 files; Julian, A Dictionary of Hymnology (1892), s.v. ""Hymn"""	"SECTION_FUNCTIONS[""verse""]; MARK_FUNCTION[""VERSE""] — but two objects under one name, see §2"
Compound verse	Western pop	?	—	no	one printed block containing two verse units	UNCITED	"COORDINATE. REWRITTEN_RETURN's gloss already names this reading: ""two readings the harness cannot choose between: a chorus that rewrites, or a mark that groups two different sections."""
Extended verse	Western pop	?	—	no	a verse instance longer than the reference	UNCITED	"COORDINATE. = verse + EXTENDED_RETURN (gloss: ""the added bar on the last return"")."
Half-chorus / Double chorus / Extended chorus / Final chorus / Stripped chorus	Western pop	?	—	see §3			ALL COORDINATES — §3
Half-drop	Western pop	?	—	"lexical:1 (""half-dropt eyelids"", Tennyson)"	a shortened or lower-intensity drop	UNCITED	COORDINATE — TRUNCATED_RETURN
Half-verse	Western pop	?	—	"attested:1 — but in corpus/san_dcs_verse.txt as SANSKRIT apparatus (ardha-śloka, ""one row per DCS half-verse whose pāda boundary was...""), never as a western pop section"	a verse instance shorter than the reference instance	UNCITED for western pop	COORDINATE, NOT A TYPE. = verse + TRUNCATED_RETURN / RETURN_LENGTH_DRIFT. See §3.
Main drop	Western pop	?	—	no	the most prominent drop	UNCITED	COORDINATE — prominence, and prominence is not a function
